symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source
BIG,UPCOM,CTCP Đầu tư Big Group Holdings,Big Group Holdings Investment Joint Stock Company,STOCK,32.0,Đầu tư Big Group Holdings,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Consumer Discretionary,Consumer Discre. Dist. & Retail,Distributors,15989530,CURRENT_LOCKED
BKG,HOSE,CTCP Đầu tư BKG Việt Nam,BKG Viet Nam Investment Joint Stock Company,STOCK,33.0,Đầu tư BKG Việt Nam,Nguyên vật liệu,Nguyên vật liệu,Gỗ và giấy,Materials,Materials,Paper & Forest Products,71609020,CURRENT_LOCKED
BMS,UPCOM,CTCP Chứng khoán Bảo Minh,Bao Minh Securities Company Limited,STOCK,34.0,Chứng khoán Bảo Minh,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,78932652,CURRENT_LOCKED
BSI,HOSE,CTCP Chứng khoán BIDV,BIDV Securities Joint Stock Company,STOCK,35.0,Chứng khoán BIDV,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,245365943,CURRENT_LOCKED
BSR,HOSE,CTCP Lọc hóa Dầu Bình Sơn,Binh Son Refining and Petrochemical Company Limited,STOCK,36.0,Lọc hóa Dầu Bình Sơn,Năng lượng,Năng lượng,Dầu khí,Energy,Energy,"Oil, Gas & Consumable Fuels",3100499616,CURRENT_LOCKED
BVB,UPCOM,Ngân hàng TMCP Bản Việt,Viet Capital Commercial Joint Stock Bank,STOCK,37.0,Bản Việt,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,640820000,CURRENT_LOCKED
BVH,HOSE,Tập đoàn Bảo Việt,Bao Viet Holdings,STOCK,38.0,Bảo Việt,Tài chính,Bảo hiểm,Bảo hiểm,Financials,Insurance,Insurance,742322764,CURRENT_LOCKED
BVS,HNX,CTCP Chứng khoán Bảo Việt,Baoviet Securities Company,STOCK,39.0,Chứng khoán Bảo Việt,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,72233937,CURRENT_LOCKED
BWE,HOSE,CTCP - Tổng công ty nước - môi trường Bình Dương,Binh Duong Water - Enviroment Corporation - Joint Stock Company,STOCK,40.0,nước - môi trường Bình Dương,Tiện ích,Tiện ích,Nước,Utilities,Utilities,Water Utilities,219928644,CURRENT_LOCKED
C4G,UPCOM,CTCP Tập đoàn CIENCO4,CIENCO4 Group Joint Stock Company,STOCK,41.0,CIENCO4,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,357300754,CURRENT_LOCKED
C69,HNX,CTCP Xây dựng 1369,1369 Construction Joint Stock Company,STOCK,42.0,Xây dựng 1369,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Bán lẻ chuyên doanh,Consumer Discretionary,Consumer Discre. Dist. & Retail,Specialty Retail,61799972,CURRENT_LOCKED
CAR,HNX,CTCP Tập đoàn Giáo dục Trí Việt,Tri Viet Education Group Joint Stock Company,STOCK,43.0,Giáo dục Trí Việt,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,Dịch vụ tiêu dùng khác,Consumer Discretionary,Consumer Services,Diversified Consumer Services,5565004,CURRENT_LOCKED
CDC,HOSE,CTCP Chương Dương,Chuong Duong Joint Stock Company,STOCK,44.0,Chương Dương,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,43977432,CURRENT_LOCKED
CEO,HNX,CTCP Tập đoàn C.E.O,C.E.O Group Joint Stock Company,STOCK,45.0,C.E.O,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,540406432,CURRENT_LOCKED
