scan_date,scan_at,symbol,exchange,close_price,previous_close_price,price_change_30m_pct,volume_accumulated,previous_volume_accumulated,avg_volume_10,expected_volume_at_time,rvol_time,ma200_vnd,distance_to_ma200_pct,below_ma200,price_surge_30m,volume_surge,strong_setup,has_any_signal,signal_name,is_baseline_snapshot,session_elapsed_minutes,session_progress,ma200_status,avg_volume_10_status,previous_scan_at,time,reference_price,open_price,high_price,low_price,average_price,total_value,price_change,percent_change,ceiling_price,floor_price,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,foreign_buy_volume,foreign_sell_volume,foreign_room,latest_date,latest_close,ma200,latest_close_vnd
2026-07-31,2026-07-31T12:19:31.618146+07:00,TTF,HOSE,1840,1840,0.0,480800,480800,428260.0,237922.22222222222,2.020828468687246,2707.75,-32.0469024097498,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472151479,1820,1820,1840,1800,1815,872790000,20,1.098901098901099,1940,1700,1830.0,18200,1820,9100,1810,26900,1840.0,18000,1850,500,1860,10800,10700,2500,183448491,2026-07-30,1.82,2.70775,1820.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,VCB,HOSE,59600,59600,0.0,15447200,15447200,4574120.0,2541177.777777778,6.078756132327092,60786.65,-1.9521556131157112,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472221097,56500,57700,60400,57300,59209,914620560000,3100,5.486725663716814,60400,52600,59600.0,2300,59500,38600,59400,71500,59700.0,37000,59800,55500,59900,71800,3854700,690300,826627588,2026-07-30,56.5,60.78665,56500.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,VRE,HOSE,24800,24800,0.0,6451800,6451800,5779660.0,3210922.2222222225,2.0093292685036834,29628.050000000003,-16.29553750584329,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785475163378,24300,25200,25750,24700,25261,162981010000,500,2.05761316872428,26000,22600,24750.0,100,24700,5200,24650,9200,24800.0,9600,24850,1600,24900,23400,3179650,977200,875604818,2026-07-30,24.3,29.62805,24300.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,DSH,UPCOM,13300,13300,0.0,264200,264200,63750.0,35416.66666666667,7.4597647058823515,13393.35,-0.696987684186558,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472153590,13900,14300,14600,13200,13612,3596230000,-600,-4.316546762589928,15900,11900,13200.0,1400,13100,6300,13000,3700,13300.0,4800,13800,2000,13900,2000,0,0,0,2026-07-30,14.0,13.39335,14000.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,SBS,UPCOM,4600,4600,0.0,784000,784000,588290.0,326827.7777777778,2.3988169100273673,5403.000000000001,-14.862113640570069,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472193824,4600,4800,4800,4600,4642,3639560000,0,0.0,5200,4000,4600.0,640300,4500,1276600,4400,1003800,4700.0,139400,4800,210600,4900,186800,0,12900,145031978,2026-07-30,4.8,5.4030000000000005,4800.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,VGI,UPCOM,81700,81700,0.0,300900,300900,211530.0,117516.66666666667,2.5604878740604167,88492.0,-7.675270080911269,True,False,True,False,True,BELOW_MA200|VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472196196,77500,79500,84100,78300,80627,24260540000,4200,5.419354838709677,89100,65900,81700.0,100,81600,1000,81500,2100,81800.0,900,81900,600,82000,3300,0,0,-453912,2026-07-30,78.8,88.492,78800.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,HSL,HOSE,8280,8280,0.0,649600,649600,341240.0,189577.77777777778,3.426561950533349,7075.900000000001,17.016916575983256,False,False,True,False,True,VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472178791,8100,8100,8460,8070,8297,5389920000,180,2.2222222222222223,8660,7540,8120.0,1400,8110,100,8100,6000,8260.0,1000,8270,1000,8280,4300,24300,38600,18690652,2026-07-30,8.1,7.075900000000001,8100.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,HVH,HOSE,11700,11700,0.0,426300,426300,241920.0,134400.0,3.171875,11220.800000000001,4.270640239555102,False,False,True,False,True,VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472052482,11400,11500,12000,11500,11793,5027150000,300,2.631578947368421,12150,10650,11700.0,1200,11650,3400,11600,5400,11750.0,5900,11800,10600,11850,10900,5800,1000,34138052,2026-07-30,11.4,11.2208,11400.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,POW,HOSE,13700,13700,0.0,7951500,7951500,7127880.0,3959933.3333333335,2.0079883499722215,13274.85,3.2026727232322747,False,False,True,False,True,VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472215997,13700,13950,14100,13650,13912,110618330000,0,0.0,14650,12750,13650.0,325400,13600,185400,13550,82500,13700.0,17300,13750,135000,13800,133600,118000,1395600,1391662017,2026-07-30,13.7,13.27485,13700.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,AIG,UPCOM,52800,52800,0.0,35200,35200,20230.0,11238.888888888889,3.1319822046465644,46825.99999999999,12.757869559646368,False,False,True,False,True,VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785471959427,51200,52000,53500,52000,53106,1869330000,1600,3.125,58800,43600,52500.0,1800,52200,1600,52100,2000,52800.0,100,52900,800,53000,4600,1000,0,8655088,2026-07-30,52.0,46.82599999999999,52000.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,SCL,UPCOM,23800,23800,0.0,266300,266300,138420.0,76900.0,3.4629388816644995,17661.149999999998,34.7590615560142,False,False,True,False,True,VOLUME_SURGE,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472176696,22500,22800,24800,22800,23897,6363710000,1300,5.777777777777778,25800,19200,23700.0,7300,23600,5500,23500,6900,23800.0,1900,23900,2500,24000,2900,200,0,18576077,2026-07-30,22.8,17.66115,22800.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,API,HNX,5400,5400,0.0,32800,32800,94310.0,52394.444444444445,0.6260205704591242,6373.499999999999,-15.274182160508342,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472110999,5500,5500,5500,5400,5432,178180000,-100,-1.8181818181818181,6000,5000,5400.0,1500,5300,12200,5200,3500,5500.0,15700,5600,10400,5700,10900,0,10100,39212818,2026-07-30,5.5,6.373499999999999,5500.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,APS,HNX,5800,5800,0.0,144100,144100,393570.0,218650.0,0.6590441344614681,6984.000000000001,-16.95303550973655,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785471995141,5800,5800,5900,5700,5800,835770000,0,0.0,6300,5300,5700.0,60900,5600,57100,5500,64900,5800.0,5100,5900,54300,6000,109000,0,38000,82441534,2026-07-30,5.8,6.984000000000001,5800.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,BVS,HNX,25700,25700,0.0,661800,661800,1334090.0,741161.1111111111,0.8929232660465186,29315.199999999997,-12.332168977185889,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472185388,26200,26300,26500,25600,25939,17166620000,-500,-1.9083969465648856,28800,23600,25700.0,8000,25600,27700,25500,23000,25900.0,500,26000,4900,26100,7100,0,198600,71055229,2026-07-30,26.2,29.315199999999997,26200.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,CEO,HNX,11500,11500,0.0,2938700,2938700,6589040.0,3660577.777777778,0.8027967655379236,18394.0,-37.47961291725563,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472194993,11700,11700,12000,11500,11682,34329170000,-200,-1.7094017094017095,12800,10600,11500.0,224600,11400,298500,11300,330800,11600.0,26700,11700,203500,11800,231800,900,578800,271522003,2026-07-30,11.7,18.394,11700.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,DST,HNX,7000,7000,0.0,25600,25600,257980.0,143322.22222222222,0.17861849755795023,9096.0,-23.043095866314864,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472198594,7100,7100,7200,6900,7036,180130000,-100,-1.4084507042253522,7800,6400,7000.0,500,6900,3000,6800,4600,7100.0,2100,7200,9300,7300,6600,0,0,-8850,2026-07-30,7.1,9.096,7100.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,DTD,HNX,12300,12300,0.0,20000,20000,118400.0,65777.77777777778,0.30405405405405406,14731.949999999999,-16.50799792288189,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785475170884,12400,12400,12400,12200,12270,245390000,-100,-0.8064516129032258,13600,11200,12200.0,27700,12100,27200,12000,23900,12300.0,20800,12400,22800,12500,17900,0,1921,35727829,2026-07-30,12.4,14.73195,12400.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,HUT,HNX,14600,14600,0.0,792800,792800,2644820.0,1469344.4444444445,0.5395603481522372,16142.499999999998,-9.555521139848217,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472177898,14800,14800,14800,14500,14509,11502780000,-200,-1.3513513513513513,16200,13400,14500.0,72800,14400,799200,14300,324900,14600.0,17100,14700,62000,14800,1317600,4300,8100,499966434,2026-07-30,14.8,16.1425,14800.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,IDC,HNX,32800,32800,0.0,509300,509300,1128670.0,627038.8888888889,0.8122303241868748,36423.950000000004,-9.949360242368014,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472197109,32500,32500,33300,32500,32908,16760100000,300,0.9230769230769231,35700,29300,32800.0,15600,32700,15100,32600,20600,32900.0,8500,33000,16200,33100,8800,4000,116400,127853107,2026-07-30,32.5,36.423950000000005,32500.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,IDJ,HNX,3700,3700,0.0,212300,212300,358970.0,199427.77777777778,1.0645457837702315,4599.5,-19.55647352973149,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785472139192,3800,3800,3800,3600,3699,785240000,-100,-2.631578947368421,4100,3500,3600.0,209100,3500,159300,0,0,3700.0,10500,3800,216900,3900,284500,0,0,85744257,2026-07-30,3.8,4.5995,3800.0
2026-07-31,2026-07-31T12:19:31.618146+07:00,L14,HNX,18000,18000,0.0,18200,18200,48240.0,26800.0,0.6791044776119403,25679.5,-29.905177281489127,True,False,False,False,True,BELOW_MA200,False,150,0.5555555555555556,OK,OK,2026-07-31T12:09:04.858539+07:00,1785471975034,18200,18700,18700,17900,18146,330250000,-200,-1.098901098901099,20000,16400,17900.0,2800,17700,2200,17600,7400,18000.0,1900,18100,2000,18200,2400,0,4800,15354370,2026-07-30,18.2,25.6795,18200.0
