symbol,exchange,company_name,display_name,en_company_name,vietstock_company_name,name_match_status,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,vietstock_financial_url,status,needs_review,review_reason
AAT,HOSE,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Tien Son Thanh Hoa Group JSC,CTCP Tập Đoàn Tiên Sơn Thanh Hóa - Tien Son Thanh Hoa Group JSC - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AAT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AAT/tai-chinh.htm?tab=BCTT,OK,NO,
ABI,UPCOM,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Agriculture Bank Insurance Joint Stock Corporation,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam - ABIC - Hồ sơ doanh nghiệp,MATCH,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ABI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ABI/tai-chinh.htm?tab=BCTT,OK,NO,
ACG,HOSE,CTCP Gỗ An Cường,CTCP Gỗ An Cường,An Cuong Wood - Working Joint Stock Company,CTCP Gỗ An Cường - An Cuong Wood - Working JSC - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Gỗ và giấy,Nguyên vật liệu,Gỗ và giấy,,Gỗ & Giấy,NORMAL,24,go va giay,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ACG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ACG/tai-chinh.htm?tab=BCTT,OK,NO,
ACL,HOSE,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Cuu Long Fish Joint Stock Company,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang - CL-Fish Corp - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ACL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ACL/tai-chinh.htm?tab=BCTT,OK,NO,
ACM,UPCOM,CTCP Tập đoàn Khoáng sản Á Cường,CTCP Tập đoàn Khoáng sản Á Cường,A Cuong Mineral Group JSC,"CTCP Tập đoàn Khoáng sản Á Cường - AC Group.,JSC - Hồ sơ doanh nghiệp",MATCH,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ACM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ACM/tai-chinh.htm?tab=BCTT,OK,NO,
ADG,HOSE,CTCP Clever Group,CTCP Clever Group,Clever Group Corporation,CTCP Clever Group - CLEVER GROUP - Hồ sơ doanh nghiệp,MATCH,Dịch vụ truyền thông,Truyền thông và giải trí,Truyền thông,Dịch vụ truyền thông,Truyền thông và giải trí,Truyền thông,Du lịch & Giải trí,NORMAL,27,giai tri,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ADG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ADG/tai-chinh.htm?tab=BCTT,OK,NO,
ADP,HOSE,CTCP Sơn Á Đông,CTCP Sơn Á Đông,A Dong Paint JSC,CTCP Sơn Á Đông - ADONG PAINT - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ADP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ADP/tai-chinh.htm?tab=BCTT,OK,NO,
ADS,HOSE,CTCP Damsan,CTCP Damsan,DamSan Joint Stock Company,CTCP Damsan - Damsan JSC - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ADS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ADS/tai-chinh.htm?tab=BCTT,OK,NO,
AGF,UPCOM,CTCP Xuất nhập khẩu Thủy sản An Giang,CTCP Xuất nhập khẩu Thủy sản An Giang,Angiang Fisheries Import Export JSC,CTCP Xuất nhập khẩu Thủy sản An Giang - AGIFISH Co - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AGF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AGF/tai-chinh.htm?tab=BCTT,OK,NO,
AGP,UPCOM,CTCP Dược phẩm Agimexpharm,CTCP Dược phẩm Agimexpharm,Agimexpharm Pharmaceutical JSC,CTCP Dược phẩm Agimexpharm - AGIMEXPHARM - Hồ sơ doanh nghiệp,MATCH,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AGP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AGP/tai-chinh.htm?tab=BCTT,OK,NO,
AIC,UPCOM,Tổng Công ty Cổ phần Bảo hiểm DBV,Tổng Công ty Cổ phần Bảo hiểm DBV,DBV Insurance Corporation,Tổng Công ty Cổ phần Bảo hiểm DBV - DBV - Hồ sơ doanh nghiệp,MATCH,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AIC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AIC/tai-chinh.htm?tab=BCTT,OK,NO,
AMD,UPCOM,CTCP Đầu tư và Khoáng sản FLC Stone,CTCP Đầu tư và Khoáng sản FLC Stone,FLC Stone Mining And Investment Joint Stock Company,"CTCP Đầu tư và Khoáng sản FLC Stone - FLC STONE.,JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Xây dựng,NORMAL,15,xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AMD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AMD/tai-chinh.htm?tab=BCTT,OK,NO,
AME,HNX,CTCP Alphanam E&C,CTCP Alphanam E&C,Alphanam E&C Joint Stock Company,CTCP Alphanam E&C - ALPHANAM E&C JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Thương mại & Phân phối,NORMAL,33,phan phoi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AME/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AME/tai-chinh.htm?tab=BCTT,OK,NO,
AMS,UPCOM,CTCP Cơ khí Xây dựng AMECC,CTCP Cơ khí Xây dựng AMECC,AMECC MECHANICAL CONSTRUCTION JSC,CTCP Cơ khí Xây dựng AMECC - AMECC JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,Máy móc & Thiết bị,NORMAL,30,may moc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AMS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AMS/tai-chinh.htm?tab=BCTT,OK,NO,
APF,UPCOM,CTCP Nông sản Thực phẩm Quảng Ngãi,CTCP Nông sản Thực phẩm Quảng Ngãi,Quang Ngai Agricultural Products and Foodstuff JSC,CTCP Nông sản Thực phẩm Quảng Ngãi - APFCO - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/APF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/APF/tai-chinh.htm?tab=BCTT,OK,NO,
ARM,HNX,CTCP Xuất nhập khẩu Hàng không,CTCP Xuất nhập khẩu Hàng không,General Aviation Import Export JSC,"CTCP Xuất nhập khẩu Hàng không - AIRIMEX.,JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Thương mại & Phân phối,NORMAL,33,phan phoi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ARM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ARM/tai-chinh.htm?tab=BCTT,OK,NO,
ART,UPCOM,CTCP Chứng khoán Artex,CTCP Chứng khoán Artex,Artex Securities Joint Stock Company,CTCP Chứng khoán ARTEX - Artex - Hồ sơ doanh nghiệp,MATCH,Tài chính,Dịch vụ tài chính,Thị trường vốn,Tài chính,Dịch vụ tài chính,Thị trường vốn,Chứng khoán,SECURITIES,2,thi truong von,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ART/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ART/tai-chinh.htm?tab=BCTT,OK,NO,
ASG,HOSE,CTCP Tập đoàn ASG,CTCP Tập đoàn ASG,ASG Corporation,"CTCP Tập đoàn ASG - ASG.,CORP - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Cảng & Logistics,NORMAL,14,logistics,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/ASG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ASG/tai-chinh.htm?tab=BCTT,OK,NO,
AST,HOSE,CTCP Dịch vụ Hàng không Taseco,CTCP Dịch vụ Hàng không Taseco,Taseco Air Services JSC,CTCP Dịch vụ Hàng không Taseco - TASECO AIRS - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Công nghiệp,Vận tải,Hạ tầng giao thông,Cảng & Logistics,NORMAL,14,logistics,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/AST/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AST/tai-chinh.htm?tab=BCTT,OK,YES,Phân ngành dùng fallback watchlist
AVC,UPCOM,CTCP Thủy điện A Vương,CTCP Thủy điện A Vương,A Vuong Hydropower JSC,CTCP Thủy điện A Vương - AVHPC - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/AVC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AVC/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
AVF,UPCOM,CTCP Việt An,CTCP Việt An,AnViFish Joint Stock Company,CTCP Việt An - AnViFish Co. - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/AVF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AVF/tai-chinh.htm?tab=BCTT,OK,NO,
BCA,UPCOM,CTCP B.C.H,CTCP B.C.H,B.C.H Joint Stock Company,CTCP B.C.H - - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BCA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BCA/tai-chinh.htm?tab=BCTT,OK,NO,
BCC,HNX,CTCP Xi măng Bỉm Sơn,CTCP Xi măng Bỉm Sơn,Bim Son Cement JSC,CTCP Xi măng Bỉm Sơn - BCC - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BCC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BCC/tai-chinh.htm?tab=BCTT,OK,NO,
BCF,HNX,CTCP Thực phẩm Bích Chi,CTCP Thực phẩm Bích Chi,Bich Chi Food JSC,CTCP Thực phẩm Bích Chi - BCF - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BCF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BCF/tai-chinh.htm?tab=BCTT,OK,NO,
BCG,HOSE,CTCP Tập đoàn Bamboo Capital,CTCP Tập đoàn Bamboo Capital,Bamboo Capital Group Joint Stock Company,CTCP Tập đoàn Bamboo Capital - BCG - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BCG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BCG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BCR,UPCOM,CTCP BCG Land,CTCP BCG Land,BCG Land Joint Stock Company,CTCP BCG Land - BCG Land - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BCR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BCR/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BDG,UPCOM,CTCP May mặc Bình Dương,CTCP May mặc Bình Dương,Protrade Garment Joint Stock Company,CTCP May mặc Bình Dương - Protrade Garment JSC - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BDG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BDG/tai-chinh.htm?tab=BCTT,OK,NO,
BDT,UPCOM,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Dong Thap Building Materials & Contruction Joint Stock Company,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp - DONGTHAP BMC - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BDT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BDT/tai-chinh.htm?tab=BCTT,OK,NO,
BGE,UPCOM,CTCP BCG Energy,CTCP BCG Energy,BCG Energy Joint Stock Company,CTCP BCG Energy - BCG Energy - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BGE/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BGE/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BHA,UPCOM,CTCP Thủy điện Bắc Hà,CTCP Thủy điện Bắc Hà,Bac Ha Hydropower JSC,CTCP Thủy điện Bắc Hà - BHHC - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BHA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BHA/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BHI,UPCOM,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,Sai Gon - Ha Noi Insurance Corporation,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội - BSH - Hồ sơ doanh nghiệp,MATCH,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BHI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BHI/tai-chinh.htm?tab=BCTT,OK,NO,
BHN,HOSE,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Hanoi Beer Alcohol And Beverage Joint Stock Corporation,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội - HABECO - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BHN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BHN/tai-chinh.htm?tab=BCTT,OK,NO,
BIC,HOSE,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,BIDV Insurance Corporation,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam - BIC - Hồ sơ doanh nghiệp,MATCH,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BIC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BIC/tai-chinh.htm?tab=BCTT,OK,NO,
BII,UPCOM,CTCP Louis Land,CTCP Louis Land,Louis Land JSC,CTCP Đầu tư và Phát triển Công nghiệp Bảo Thư - BIDICO - Hồ sơ doanh nghiệp,MISMATCH_REVIEW,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BII/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BII/tai-chinh.htm?tab=BCTT,OK,YES,Tên VNStock khác Vietstock | Chưa map được ngành
BKC,HNX,CTCP Khoáng sản Bắc Kạn,CTCP Khoáng sản Bắc Kạn,Bac Kan Mineral Joint Stock Corporation,CTCP Khoáng sản Bắc Kạn - BAMCORP - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BKC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BKC/tai-chinh.htm?tab=BCTT,OK,NO,
BLI,UPCOM,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Bao Long Insurance Corporation,Tổng Công ty cổ phần Bảo hiểm Bảo Long - Bảo Long - Hồ sơ doanh nghiệp,MATCH,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BLI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BLI/tai-chinh.htm?tab=BCTT,OK,NO,
BMI,HOSE,Tổng Công ty cổ phần Bảo Minh,Tổng Công ty cổ phần Bảo Minh,Bao Minh Insurance Corporation,Tổng Công ty cổ phần Bảo Minh - BAO MINH - Hồ sơ doanh nghiệp,MATCH,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BMI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BMI/tai-chinh.htm?tab=BCTT,OK,NO,
BMJ,UPCOM,CTCP Khoáng sản Miền Đông AHP,CTCP Khoáng sản Miền Đông AHP,Easterns AHP Minerals Joint Stock Company,CTCP Khoáng sản Miền Đông AHP - AHP MINERALS - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BMJ/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BMJ/tai-chinh.htm?tab=BCTT,OK,NO,
BMP,HOSE,CTCP Nhựa Bình Minh,CTCP Nhựa Bình Minh,Binh Minh Plastics Joint Stock Company,CTCP Nhựa Bình Minh - BM PLASCO. - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BMP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BMP/tai-chinh.htm?tab=BCTT,OK,NO,
BMV,UPCOM,CTCP Bột mỳ Vinafood 1,CTCP Bột mỳ Vinafood 1,Vinafood 1 Flour Joint Stock Company,CTCP Bột mỳ Vinafood 1 - VNF1 Flour. JSC - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BMV/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BMV/tai-chinh.htm?tab=BCTT,OK,NO,
BNA,HNX,CTCP Tập đoàn Đầu tư Bảo Ngọc,CTCP Tập đoàn Đầu tư Bảo Ngọc,Bao Ngoc Investment Group Joint Stock Company,CTCP Tập đoàn Đầu tư Bảo Ngọc - BNGroup.JSC - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BNA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BNA/tai-chinh.htm?tab=BCTT,OK,NO,
BNW,UPCOM,CTCP Nước sạch Bắc Ninh,CTCP Nước sạch Bắc Ninh,Bac Ninh Clean Water Joint Stock Company,CTCP Nước sạch Bắc Ninh - BANIWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BNW/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BNW/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BOT,UPCOM,CTCP BOT Cầu Thái Hà,CTCP BOT Cầu Thái Hà,Thai Ha Bridge BOT Joint Stock Company,"CTCP BOT Cầu Thái Hà - BOT CAU THAI HA.,JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BOT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BOT/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BRR,UPCOM,CTCP Cao su Bà Rịa,CTCP Cao su Bà Rịa,BaRia Rubber Joint Stock Company,CTCP Cao su Bà Rịa - BARUCO - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BRR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BRR/tai-chinh.htm?tab=BCTT,OK,NO,
BSA,UPCOM,CTCP Thủy điện Buôn Đôn,CTCP Thủy điện Buôn Đôn,Buon Don Hydropower JSC,CTCP Thủy điện Buôn Đôn - BDHC - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BSA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BSA/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
