symbol,exchange,company_name,display_name,en_company_name,vietstock_company_name,name_match_status,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,vietstock_financial_url,status,needs_review,review_reason
QNS,UPCOM,CTCP Đường Quảng Ngãi,CTCP Đường Quảng Ngãi,Quang Ngai Sugar Joint Stock Company,CTCP Đường Quảng Ngãi - QNS - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/QNS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/QNS/tai-chinh.htm?tab=BCTT,OK,NO,
RAL,HOSE,CTCP Bóng đèn Phích nước Rạng Đông,CTCP Bóng đèn Phích nước Rạng Đông,Rangdong Light Source And Vacuum Flask JSC,CTCP Bóng đèn Phích nước Rạng Đông - RALACO - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/RAL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/RAL/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
RCC,UPCOM,CTCP Tổng Công ty Công trình Đường sắt,CTCP Tổng Công ty Công trình Đường sắt,Railway Construction Corporation Joint Stock Company,"CTCP Tổng Công ty Công trình Đường sắt Việt Nam - VRCC., JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/RCC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/RCC/tai-chinh.htm?tab=BCTT,OK,NO,
RDP,UPCOM,CTCP Rạng Đông Holding,CTCP Rạng Đông Holding,Rang Dong Holding Plastic JSC,CTCP Rạng Đông Holding - RDP - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Bao bì và vật chứa,Nguyên vật liệu,Bao bì và vật chứa,,Bao bì,NORMAL,31,bao bi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/RDP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/RDP/tai-chinh.htm?tab=BCTT,OK,NO,
RIC,UPCOM,CTCP Quốc tế Hoàng Gia,CTCP Quốc tế Hoàng Gia,The Royal International Corporation,CTCP Quốc tế Hoàng Gia - Royal International Corp - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Du lịch & Giải trí,NORMAL,27,giai tri,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/RIC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/RIC/tai-chinh.htm?tab=BCTT,OK,NO,
RTB,UPCOM,CTCP Cao su Tân Biên,CTCP Cao su Tân Biên,Tan Bien Rubber JSC,CTCP Cao su Tân Biên - TABIRUCO (TBRC) - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/RTB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/RTB/tai-chinh.htm?tab=BCTT,OK,NO,
RYG,HOSE,CTCP Sản xuất và Đầu tư Hoàng Gia,CTCP Sản xuất và Đầu tư Hoàng Gia,Royal Manufacture and Investment Joint Stock Company,CTCP Sản xuất và Đầu tư Hoàng Gia - Royal Invest JSC - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/RYG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/RYG/tai-chinh.htm?tab=BCTT,OK,NO,
S4A,HOSE,CTCP Thủy điện Sê San 4A,CTCP Thủy điện Sê San 4A,Se San 4A Hydro Power JSC,CTCP Thủy điện Sê San 4A - SHJC - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/S4A/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/S4A/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
S99,HNX,CTCP SCI,CTCP SCI,SCI Joint Stock Company,CTCP SCI - SCI - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/S99/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/S99/tai-chinh.htm?tab=BCTT,OK,NO,
SAM,HOSE,CTCP SAM Holdings,CTCP SAM Holdings,SAM Holdings Corporation,CTCP SAM Holdings - SAM Holdings - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SAM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SAM/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
SAS,UPCOM,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Southern Airports Services JSC,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất - SASCO - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SAS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SAS/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
SAV,HOSE,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Savimex Corporation,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex - SAVIMEX - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Hàng tiêu dùng lâu bền,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Hàng tiêu dùng lâu bền,Hàng tiêu dùng lâu bền,NORMAL,36,hang tieu dung lau ben,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/SAV/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SAV/tai-chinh.htm?tab=BCTT,OK,NO,
SBA,HOSE,CTCP Sông Ba,CTCP Sông Ba,Song Ba JSC,CTCP Sông Ba - SBA - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SBA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SBA/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
