symbol,exchange,company_name,display_name,en_company_name,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,status,needs_review
ILS,UPCOM,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế,Đầu tư Thương mại và Dịch vụ Quốc tế,International Investment Trade and Service Group Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/ILS/ho-so-doanh-nghiep.htm,OK,YES
ING,UPCOM,CTCP Đầu tư và Phát triển Xây dựng,Đầu tư và Phát triển Xây dựng,The Investment & Construction Development Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/ING/ho-so-doanh-nghiep.htm,OK,YES
IPA,HNX,CTCP Tập đoàn Đầu tư I.P.A,Đầu tư I.P.A,I.P.A Investments Group Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/IPA/ho-so-doanh-nghiep.htm,OK,YES
ISH,UPCOM,CTCP Thủy điện Srok Phu Miêng IDICO,Thủy điện Srok Phu Miêng IDICO,Idico Scrok Phu Mieng Hydro Power Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/ISH/ho-so-doanh-nghiep.htm,OK,YES
ITA,UPCOM,CTCP Đầu tư và Công nghiệp Tân Tạo,Đầu tư và Công nghiệp Tân Tạo,Tan Tao Investment and Industry Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/ITA/ho-so-doanh-nghiep.htm,OK,YES
ITC,HOSE,CTCP Đầu tư và Kinh doanh Nhà,Đầu tư và Kinh doanh Nhà,Investment and Trading Of Real Estate JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/ITC/ho-so-doanh-nghiep.htm,OK,YES
KHP,HOSE,CTCP Điện lực Khánh Hòa,Điện lực Khánh Hòa,Khanh Hoa Power Joint Stock Company,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/KHP/ho-so-doanh-nghiep.htm,OK,YES
KHW,UPCOM,CTCP Cấp thoát nước Khánh Hòa,Cấp thoát nước Khánh Hòa,Khanh Hoa Water Supply And Sewerage JSC,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/KHW/ho-so-doanh-nghiep.htm,OK,YES
KOS,HOSE,CTCP KOSY,KOSY,KOSY Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/KOS/ho-so-doanh-nghiep.htm,OK,YES
KPF,UPCOM,CTCP Đầu tư tài sản Koji,Đầu tư tài sản Koji,Koji Asset Investment Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/KPF/ho-so-doanh-nghiep.htm,OK,YES
LAI,UPCOM,CTCP Đầu Tư Xây dựng Long An IDICO,Đầu Tư Xây dựng Long An IDICO,IDICO Long An Investment Construction Joint Stock Company,Bất động sản,Bất động sản,Bất động sản đa dạng,Bất động sản,Bất động sản đa dạng,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/LAI/ho-so-doanh-nghiep.htm,OK,YES
LDW,UPCOM,CTCP Cấp thoát nước Lâm Đồng,Cấp thoát nước Lâm Đồng,Lam Dong Water Supply And Sewerage JSC,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/LDW/ho-so-doanh-nghiep.htm,OK,YES
LGC,HOSE,CTCP Đầu tư Cầu đường CII,Đầu tư Cầu đường CII,CII Bridges & Roads Investment JSC,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/LGC/ho-so-doanh-nghiep.htm,OK,YES
LGL,HOSE,CTCP Đầu tư và Phát triển Đô thị Long Giang,Đầu tư và Phát triển Đô thị Long Giang,Long Giang Investment & Urban Development JSC,Bất động sản,Bất động sản,Bất động sản đa dạng,Bất động sản,Bất động sản đa dạng,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/LGL/ho-so-doanh-nghiep.htm,OK,YES
LHG,HOSE,CTCP Long Hậu,Long Hậu,Long Hau Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/LHG/ho-so-doanh-nghiep.htm,OK,YES
LIX,HOSE,CTCP Bột Giặt Lix,Bột Giặt Lix,Lix Detergent Joint Stock Company,Tiêu dùng thiết yếu,Sản phẩm chăm sóc cá nhân và gia đình,Sản phẩm chăm sóc gia đình,Tiêu dùng thiết yếu,Sản phẩm chăm sóc cá nhân và gia đình,Sản phẩm chăm sóc gia đình,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/LIX/ho-so-doanh-nghiep.htm,OK,YES
LSG,UPCOM,CTCP Bất động sản Sài Gòn Vina,Bất động sản Sài Gòn Vina,Saigon Vina Land Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/LSG/ho-so-doanh-nghiep.htm,OK,YES
MAC,HNX,CTCP Tập đoàn Macstar,Macstar,Macstar Group Corporation,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/MAC/ho-so-doanh-nghiep.htm,OK,YES
MCG,UPCOM,CTCP Năng lượng và Bất động sản MCG,Năng lượng và Bất động sản MCG,MCG Energy and Real Estate JSC,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Tiện ích,Phát điện độc lập và điện tái tạo,,Xây dựng,NORMAL,15,ky thuat xay dung,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/MCG/ho-so-doanh-nghiep.htm,OK,YES
MH3,UPCOM,CTCP Khu Công nghiệp Cao su Bình Long,Khu Công nghiệp Cao su Bình Long,Binh Long Rubber Industrial Park Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/MH3/ho-so-doanh-nghiep.htm,OK,YES
MTA,UPCOM,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,Khoáng sản và Thương mại Hà Tĩnh - CTCP,Ha Tinh Minerals and Trading Joint Stock Corporation,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/MTA/ho-so-doanh-nghiep.htm,OK,YES
NAP,HNX,CTCP Cảng Nghệ Tĩnh,Cảng Nghệ Tĩnh,Nghetinh Port Holding Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NAP/ho-so-doanh-nghiep.htm,OK,YES
NAW,UPCOM,CTCP Cấp nước Nghệ An,Cấp nước Nghệ An,Nghe An Water Supply Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NAW/ho-so-doanh-nghiep.htm,OK,YES
NBB,HOSE,CTCP Đầu tư Năm Bảy Bảy,Đầu tư Năm Bảy Bảy,577 Investment Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NBB/ho-so-doanh-nghiep.htm,OK,YES
NBT,UPCOM,CTCP Cấp thoát nước Bến Tre,Cấp thoát nước Bến Tre,Ben Tre Water Supply and Sewerage JSC,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NBT/ho-so-doanh-nghiep.htm,OK,YES
NCT,HOSE,CTCP Dịch vụ Hàng hóa Nội Bài,Dịch vụ Hàng hóa Nội Bài,Noi Bai Cargo Terminal Service Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NCT/ho-so-doanh-nghiep.htm,OK,YES
ND2,UPCOM,CTCP Đầu tư và Phát triển Điện Miền Bắc 2,Đầu tư và Phát triển Điện Miền Bắc 2,Northern Electricity Development & Investment JSC No.2,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/ND2/ho-so-doanh-nghiep.htm,OK,YES
NDW,UPCOM,CTCP Cấp nước Nam Định,Cấp nước Nam Định,Nam Dinh Water Supply Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NDW/ho-so-doanh-nghiep.htm,OK,YES
NED,UPCOM,CTCP Đầu tư và Phát triển Điện Tây Bắc,Đầu tư và Phát triển Điện Tây Bắc,North - West Electric Investment and Development JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NED/ho-so-doanh-nghiep.htm,OK,YES
NET,HNX,CTCP Bột giặt NET,Bột giặt NET,NET Detergent Joint Stock Company,Tiêu dùng thiết yếu,Sản phẩm chăm sóc cá nhân và gia đình,Sản phẩm chăm sóc gia đình,Tiêu dùng thiết yếu,Sản phẩm chăm sóc cá nhân và gia đình,Sản phẩm chăm sóc gia đình,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NET/ho-so-doanh-nghiep.htm,OK,YES
NHA,HOSE,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Ha Noi South Housing and Urban Development Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NHA/ho-so-doanh-nghiep.htm,OK,YES
NQN,UPCOM,CTCP Nước sạch Quảng Ninh,Nước sạch Quảng Ninh,Quang Ninh Clean Water JSC,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NQN/ho-so-doanh-nghiep.htm,OK,YES
NS2,UPCOM,CTCP Nước sạch Số 2 Hà Nội,Nước sạch Số 2 Hà Nội,Ha Noi Water Supply Number 2 JSC,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NS2/ho-so-doanh-nghiep.htm,OK,YES
NTB,UPCOM,CTCP Đầu tư Xây dựng và Khai thác Công trình Giao thông 584,Đầu tư Xây dựng và Khai thác Công trình Giao thông 584,Transport Engineering Construction & Business Investment JSC 584,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Bất động sản,Quản lý và phát triển bất động sản,,Xây dựng,NORMAL,15,ky thuat xay dung,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/NTB/ho-so-doanh-nghiep.htm,OK,YES
NTC,UPCOM,CTCP Khu Công nghiệp Nam Tân Uyên,Khu Công nghiệp Nam Tân Uyên,Nam Tan Uyen Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/NTC/ho-so-doanh-nghiep.htm,OK,YES
PAP,UPCOM,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An,Dầu khí Đầu tư Khai thác Cảng Phước An,PetroVietnam Phuoc An Port Investment And Operation Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PAP/ho-so-doanh-nghiep.htm,OK,YES
PDN,HOSE,CTCP Cảng Đồng Nai,Cảng Đồng Nai,Dong Nai Port JSC,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PDN/ho-so-doanh-nghiep.htm,OK,YES
PEG,UPCOM,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP,Thương mại Kỹ thuật và Đầu tư - CTCP,Petec Trading and Investment Corporation,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Năng lượng,Thiết bị và dịch vụ năng lượng,,Hàng không,NORMAL,17,hang khong,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/PEG/ho-so-doanh-nghiep.htm,OK,YES
PGC,HOSE,Tổng Công ty Gas Petrolimex - CTCP,Gas Petrolimex - CTCP,Petrolimex Gas Corporation - JSC,Tiện ích,Tiện ích,Gas sinh hoạt,Tiện ích,Gas sinh hoạt,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PGC/ho-so-doanh-nghiep.htm,OK,YES
PGD,HOSE,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,Phân phối khí thấp áp Dầu khí Việt Nam,PetroVietNam Low Pressure Gas Distribution JSC,Tiện ích,Tiện ích,Gas sinh hoạt,Tiện ích,Gas sinh hoạt,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PGD/ho-so-doanh-nghiep.htm,OK,YES
PGS,HNX,CTCP Kinh doanh Khí Miền Nam,Kinh doanh Khí Miền Nam,Southern Gas Trading Joint Stock Company,Tiện ích,Tiện ích,Gas sinh hoạt,Tiện ích,Gas sinh hoạt,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PGS/ho-so-doanh-nghiep.htm,OK,YES
PGV,HOSE,Tổng Công ty Phát điện 3 - CTCP,Phát điện 3 - CTCP,Power Generation Joint Stock Corporation 3,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PGV/ho-so-doanh-nghiep.htm,OK,YES
PIC,HNX,CTCP Đầu tư Điện lực 3,Đầu tư Điện lực 3,PC3 - Investment Joint Stock Company,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PIC/ho-so-doanh-nghiep.htm,OK,YES
PMG,HOSE,CTCP Đầu tư và Sản xuất Petro Miền Trung,Đầu tư và Sản xuất Petro Miền Trung,Petro Center Corporation,Tiện ích,Tiện ích,Gas sinh hoạt,Tiện ích,Gas sinh hoạt,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PMG/ho-so-doanh-nghiep.htm,OK,YES
PMW,UPCOM,CTCP Cấp nước Phú Mỹ,Cấp nước Phú Mỹ,Phu My Water Supply Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PMW/ho-so-doanh-nghiep.htm,OK,YES
POS,UPCOM,CTCP Vận hành và Xây lắp PTSC,Vận hành và Xây lắp PTSC,PTSC Offshore Services Joint Stock Company,Năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/POS/ho-so-doanh-nghiep.htm,OK,YES
PPI,UPCOM,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương,Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương,Pacific Infrastructure Project Development & Investment Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PPI/ho-so-doanh-nghiep.htm,OK,YES
PSB,UPCOM,CTCP Đầu tư Dầu khí Sao Mai - Bến Đình,Đầu tư Dầu khí Sao Mai - Bến Đình,Sao Mai - Ben Dinh Petroleum Investment JSC,Năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PSB/ho-so-doanh-nghiep.htm,OK,YES
PSG,UPCOM,CTCP Đầu Tư và Xây lắp Dầu khí Sài Gòn,Đầu Tư và Xây lắp Dầu khí Sài Gòn,Petroleum Saigon Constrution And Investment JSC,Bất động sản,Bất động sản,Bất động sản đa dạng,Bất động sản,Bất động sản đa dạng,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PSG/ho-so-doanh-nghiep.htm,OK,YES
PSN,UPCOM,CTCP Dịch Vụ Kỹ Thuật PTSC Thanh Hóa,Dịch Vụ Kỹ Thuật PTSC Thanh Hóa,PTSC Thanh Hoa Technical Services Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PSN/ho-so-doanh-nghiep.htm,OK,YES
PSP,UPCOM,CTCP Cảng Dịch vụ Dầu khí Đình Vũ,Cảng Dịch vụ Dầu khí Đình Vũ,Dinh Vu Petroleum Service Port SJC,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PSP/ho-so-doanh-nghiep.htm,OK,YES
PTL,HOSE,CTCP Victory Group,Victory Group,Victory Group Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PTL/ho-so-doanh-nghiep.htm,OK,YES
PV2,HNX,CTCP Đầu tư PV2,Đầu tư PV2,PV2 Investment JSC,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính,Dịch vụ tài chính,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PV2/ho-so-doanh-nghiep.htm,OK,YES
PVB,HNX,CTCP Bọc ống Dầu khí Việt Nam,Bọc ống Dầu khí Việt Nam,PetroViet Nam Coating JSC,Năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PVB/ho-so-doanh-nghiep.htm,OK,YES
PVD,HOSE,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,Khoan và Dịch vụ khoan Dầu khí,PetroVietnam Drilling & Well Services Corporation,Năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PVD/ho-so-doanh-nghiep.htm,OK,YES
PVG,HNX,CTCP Kinh doanh LPG Việt Nam,Kinh doanh LPG Việt Nam,Petro VietNam LPG Joint Stock Company,Tiện ích,Tiện ích,Gas sinh hoạt,Tiện ích,Gas sinh hoạt,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PVG/ho-so-doanh-nghiep.htm,OK,YES
PVL,UPCOM,CTCP Đầu tư Nhà Đất Việt,Đầu tư Nhà Đất Việt,Viet Property Investment Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PVL/ho-so-doanh-nghiep.htm,OK,YES
PVR,UPCOM,CTCP Đầu tư PVR Hà Nội,Đầu tư PVR Hà Nội,Ha Noi PVR Investment Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PVR/ho-so-doanh-nghiep.htm,OK,YES
PVY,UPCOM,CTCP Chế tạo Giàn khoan Dầu khí,Chế tạo Giàn khoan Dầu khí,Petrovietnam Marine Shipyard JSC,Năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PVY/ho-so-doanh-nghiep.htm,OK,YES
PWS,UPCOM,CTCP Cấp thoát nước Phú Yên,Cấp thoát nước Phú Yên,Phu Yen Water Supply And Sewerage Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PWS/ho-so-doanh-nghiep.htm,OK,YES
PXL,UPCOM,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn,Đầu tư Khu Công nghiệp Dầu khí Long Sơn,Long Son Petroleum Industrial Zone Investment JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PXL/ho-so-doanh-nghiep.htm,OK,YES
RAL,HOSE,CTCP Bóng đèn Phích nước Rạng Đông,Bóng đèn Phích nước Rạng Đông,Rangdong Light Source And Vacuum Flask JSC,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/RAL/ho-so-doanh-nghiep.htm,OK,YES
S4A,HOSE,CTCP Thủy điện Sê San 4A,Thủy điện Sê San 4A,Se San 4A Hydro Power JSC,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/S4A/ho-so-doanh-nghiep.htm,OK,YES
SAM,HOSE,CTCP SAM Holdings,SAM Holdings,SAM Holdings Corporation,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SAM/ho-so-doanh-nghiep.htm,OK,YES
SAS,UPCOM,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Southern Airports Services JSC,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SAS/ho-so-doanh-nghiep.htm,OK,YES
SBA,HOSE,CTCP Sông Ba,Sông Ba,Song Ba JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SBA/ho-so-doanh-nghiep.htm,OK,YES
SBH,UPCOM,CTCP Thủy điện Sông Ba Hạ,Thủy điện Sông Ba Hạ,Song Ba Ha Hydro Power JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SBH/ho-so-doanh-nghiep.htm,OK,YES
SBM,UPCOM,CTCP Đầu tư Phát triển Bắc Minh,Đầu tư Phát triển Bắc Minh,Bac Minh Development Investment Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SBM/ho-so-doanh-nghiep.htm,OK,YES
SD9,HNX,CTCP Sông Đà 9,Sông Đà 9,Song Da No 9 Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SD9/ho-so-doanh-nghiep.htm,OK,YES
SEB,HNX,CTCP Đầu tư và Phát triển Điện Miền Trung,Đầu tư và Phát triển Điện Miền Trung,Mien Trung Power Investment & Development JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SEB/ho-so-doanh-nghiep.htm,OK,YES
SFI,HOSE,CTCP Đại lý Vận tải SAFI,Đại lý Vận tải SAFI,Sea & Air Freight International,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SFI/ho-so-doanh-nghiep.htm,OK,YES
SGN,HOSE,CTCP Phục vụ Mặt đất Sài Gòn,Phục vụ Mặt đất Sài Gòn,Saigon Ground Services JSC,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SGN/ho-so-doanh-nghiep.htm,OK,YES
SGP,UPCOM,CTCP Cảng Sài Gòn,Cảng Sài Gòn,Saigon Port Join Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/SGP/ho-so-doanh-nghiep.htm,OK,YES
