symbol,exchange,company_name,display_name,en_company_name,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,status,needs_review
CCT,UPCOM,CTCP Cảng Cần Thơ,Cảng Cần Thơ,CanTho Port Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CCT/ho-so-doanh-nghiep.htm,OK,YES
CDN,HNX,CTCP Cảng Đà Nẵng,Cảng Đà Nẵng,Danang Port Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CDN/ho-so-doanh-nghiep.htm,OK,YES
CHP,HOSE,CTCP Thủy điện Miền Trung,Thủy điện Miền Trung,Central Hydropower Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CHP/ho-so-doanh-nghiep.htm,OK,YES
CKG,HOSE,CTCP Tập đoàn CIC,CIC,CIC Group Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CKG/ho-so-doanh-nghiep.htm,OK,YES
CLG,UPCOM,CTCP Đầu tư và Phát triển Nhà đất COTEC,Đầu tư và Phát triển Nhà đất COTEC,Cotec Invesment & Land-House Development JSC,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Bất động sản,Bất động sản đa dạng,,Xây dựng,NORMAL,15,ky thuat xay dung,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/CLG/ho-so-doanh-nghiep.htm,OK,YES
CLL,HOSE,CTCP Cảng Cát Lái,Cảng Cát Lái,Cat Lai Port Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CLL/ho-so-doanh-nghiep.htm,OK,YES
CLX,UPCOM,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Cho Lon Investment And Import Export Corporation (CHOLIMEX),Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,Thương mại hàng thiết yếu,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CLX/ho-so-doanh-nghiep.htm,OK,YES
CMP,UPCOM,CTCP Cảng Chân Mây,Cảng Chân Mây,Chanmay Port Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CMP/ho-so-doanh-nghiep.htm,OK,YES
CNG,HOSE,CTCP CNG Việt Nam,CNG Việt Nam,CNG Viet Nam Joint Stock Company,Tiện ích,Tiện ích,Gas sinh hoạt,Tiện ích,Gas sinh hoạt,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CNG/ho-so-doanh-nghiep.htm,OK,YES
CNT,UPCOM,CTCP Tập đoàn CNT,CNT,CNT Group Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CNT/ho-so-doanh-nghiep.htm,OK,YES
CPI,UPCOM,CTCP Đầu tư Cảng Cái Lân,Đầu tư Cảng Cái Lân,Cailan Port Investment Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CPI/ho-so-doanh-nghiep.htm,OK,YES
CQN,UPCOM,CTCP Cảng Quảng Ninh,Cảng Quảng Ninh,QUANG NINH PORT JSC,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CQN/ho-so-doanh-nghiep.htm,OK,YES
CSC,HNX,CTCP Tập đoàn COTANA,COTANA,COTANA Group JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CSC/ho-so-doanh-nghiep.htm,OK,YES
CTW,UPCOM,CTCP Cấp thoát nước Cần Thơ,Cấp thoát nước Cần Thơ,Can Tho Water Supply - Sewerage JSC,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CTW/ho-so-doanh-nghiep.htm,OK,YES
CTX,UPCOM,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Đầu tư Xây dựng và Thương mại Việt Nam,Vietnam Investment Construction and Trading Joint Stock Corporation,Bất động sản,Bất động sản,Bất động sản đa dạng,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CTX/ho-so-doanh-nghiep.htm,OK,YES
D2D,HOSE,CTCP Phát triển Đô thị Công nghiệp số 2,Phát triển Đô thị Công nghiệp số 2,Industrial Urban Development JSC No. 2,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/D2D/ho-so-doanh-nghiep.htm,OK,YES
DL1,HNX,CTCP Tập đoàn Alpha Seven,Alpha Seven,Alpha Seven Group JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DL1/ho-so-doanh-nghiep.htm,OK,YES
DNA,UPCOM,CTCP Điện Nước An Giang,Điện Nước An Giang,An Giang Power And Water Supply Joint Stock Company,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNA/ho-so-doanh-nghiep.htm,OK,YES
DNH,UPCOM,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Da Nhim - Ham Thuan - Da Mi Hydro Power Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNH/ho-so-doanh-nghiep.htm,OK,YES
DNN,UPCOM,CTCP Cấp nước Đà Nẵng,Cấp nước Đà Nẵng,Da Nang Water Supply Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNN/ho-so-doanh-nghiep.htm,OK,YES
DNW,UPCOM,CTCP Cấp nước Đồng Nai,Cấp nước Đồng Nai,Dong Nai Water Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DNW/ho-so-doanh-nghiep.htm,OK,YES
DQC,HOSE,CTCP Tập đoàn Điện Quang,Điện Quang,Dien Quang Group Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DQC/ho-so-doanh-nghiep.htm,OK,YES
DTE,UPCOM,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,Đầu tư Năng lượng Đại Trường Thành Holdings,Dai Truong Thanh Holdings Energy Investment JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DTE/ho-so-doanh-nghiep.htm,OK,YES
DTK,HNX,Tổng Công ty Điện lực TKV - CTCP,Điện lực TKV - CTCP,Vinacomin - Power Holding Corporation,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DTK/ho-so-doanh-nghiep.htm,OK,YES
DVP,HOSE,CTCP Đầu tư và Phát triển Cảng Đình Vũ,Đầu tư và Phát triển Cảng Đình Vũ,Dinh Vu Port Investment and Development JSC,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DVP/ho-so-doanh-nghiep.htm,OK,YES
DWS,UPCOM,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,Cấp nước và Môi trường đô thị Đồng Tháp,Dong Thap Water Supply & Urban Environment Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/DWS/ho-so-doanh-nghiep.htm,OK,YES
FCS,UPCOM,CTCP Lương thực Thành phố Hồ Chí Minh,Lương thực Thành phố Hồ Chí Minh,Ho Chi Minh City Food JSC,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,,Thực phẩm & đồ uống,NORMAL,18,thuc pham,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/FCS/ho-so-doanh-nghiep.htm,OK,YES
FDC,HOSE,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Foreign Trade Development & Investment Corporation of HCMC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/FDC/ho-so-doanh-nghiep.htm,OK,YES
FIR,HOSE,CTCP Địa ốc First Real,Địa ốc First Real,First Real Joint Stock Company,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/FIR/ho-so-doanh-nghiep.htm,OK,YES
FLC,UPCOM,CTCP Tập đoàn FLC,FLC,FLC Group JSC,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Bất động sản,Quản lý và phát triển bất động sản,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/FLC/ho-so-doanh-nghiep.htm,OK,YES
GGG,UPCOM,CTCP Ô tô Giải Phóng,Ô tô Giải Phóng,Giai Phong Motor Joint Stock Company,Tiêu dùng không thiết yếu,Xe và linh kiện,Xe,Tiêu dùng không thiết yếu,Xe và linh kiện,Xe,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/GGG/ho-so-doanh-nghiep.htm,OK,YES
GHC,UPCOM,CTCP Thủy điện Gia Lai,Thủy điện Gia Lai,Gia Lai Hydropower JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/GHC/ho-so-doanh-nghiep.htm,OK,YES
GSM,UPCOM,CTCP Thủy điện Hương Sơn,Thủy điện Hương Sơn,Huong Son Hydro Power Joint Stocks Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/GSM/ho-so-doanh-nghiep.htm,OK,YES
HAR,HOSE,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Đầu tư Thương mại Bất động sản An Dương Thảo Điền,An Duong Thao Dien JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/HAR/ho-so-doanh-nghiep.htm,OK,YES
